,Unnamed: 0,Week,Day,Date,Winner/tie,PtsW,Unnamed: 5,Loser/tie,PtsL,Time,YdsW,TOW,YdsL,TOL
0,52,1,Thu,2022-09-08,Buffalo Bills,,@,Los Angeles Rams,,20:20:00,,,,
1,53,1,Sun,2022-09-11,New Orleans Saints,,@,Atlanta Falcons,,13:00:00,,,,
2,54,1,Sun,2022-09-11,Cleveland Browns,,@,Carolina Panthers,,13:00:00,,,,
3,55,1,Sun,2022-09-11,San Francisco 49ers,,@,Chicago Bears,,13:00:00,,,,
4,56,1,Sun,2022-09-11,Pittsburgh Steelers,,@,Cincinnati Bengals,,13:00:00,,,,
5,57,1,Sun,2022-09-11,Philadelphia Eagles,,@,Detroit Lions,,13:00:00,,,,
6,58,1,Sun,2022-09-11,Indianapolis Colts,,@,Houston Texans,,13:00:00,,,,
7,59,1,Sun,2022-09-11,New England Patriots,,@,Miami Dolphins,,13:00:00,,,,
8,60,1,Sun,2022-09-11,Baltimore Ravens,,@,New York Jets,,13:00:00,,,,
9,61,1,Sun,2022-09-11,Jacksonville Jaguars,,@,Washington Commanders,,13:00:00,,,,
10,62,1,Sun,2022-09-11,Kansas City Chiefs,,@,Arizona Cardinals,,16:25:00,,,,
11,63,1,Sun,2022-09-11,Green Bay Packers,,@,Minnesota Vikings,,16:25:00,,,,
12,64,1,Sun,2022-09-11,New York Giants,,@,Tennessee Titans,,16:25:00,,,,
13,65,1,Sun,2022-09-11,Las Vegas Raiders,,@,Los Angeles Chargers,,16:25:00,,,,
14,66,1,Sun,2022-09-11,Tampa Bay Buccaneers,,@,Dallas Cowboys,,20:20:00,,,,
15,67,1,Mon,2022-09-12,Denver Broncos,,@,Seattle Seahawks,,20:20:00,,,,
16,68,Week,Day,,VisTm,Pts,,HomeTm,Pts,Time,,,,
17,69,2,Thu,2022-09-15,Los Angeles Chargers,,@,Kansas City Chiefs,,20:15:00,,,,
18,70,2,Sun,2022-09-18,New York Jets,,@,Cleveland Browns,,13:00:00,,,,
19,71,2,Sun,2022-09-18,Washington Commanders,,@,Detroit Lions,,13:00:00,,,,
20,72,2,Sun,2022-09-18,Indianapolis Colts,,@,Jacksonville Jaguars,,13:00:00,,,,
21,73,2,Sun,2022-09-18,Tampa Bay Buccaneers,,@,New Orleans Saints,,13:00:00,,,,
22,74,2,Sun,2022-09-18,Carolina Panthers,,@,New York Giants,,13:00:00,,,,
23,75,2,Sun,2022-09-18,New England Patriots,,@,Pittsburgh Steelers,,13:00:00,,,,
24,76,2,Sun,2022-09-18,Miami Dolphins,,@,Baltimore Ravens,,13:00:00,,,,
25,77,2,Sun,2022-09-18,Atlanta Falcons,,@,Los Angeles Rams,,16:05:00,,,,
26,78,2,Sun,2022-09-18,Seattle Seahawks,,@,San Francisco 49ers,,16:05:00,,,,
27,79,2,Sun,2022-09-18,Cincinnati Bengals,,@,Dallas Cowboys,,16:25:00,,,,
28,80,2,Sun,2022-09-18,Houston Texans,,@,Denver Broncos,,16:25:00,,,,
29,81,2,Sun,2022-09-18,Arizona Cardinals,,@,Las Vegas Raiders,,16:25:00,,,,
30,82,2,Sun,2022-09-18,Chicago Bears,,@,Green Bay Packers,,20:20:00,,,,
31,83,2,Mon,2022-09-19,Tennessee Titans,,@,Buffalo Bills,,19:15:00,,,,
32,84,2,Mon,2022-09-19,Minnesota Vikings,,@,Philadelphia Eagles,,20:30:00,,,,
33,85,Week,Day,,VisTm,Pts,,HomeTm,Pts,Time,,,,
34,86,3,Thu,2022-09-22,Pittsburgh Steelers,,@,Cleveland Browns,,20:15:00,,,,
35,87,3,Sun,2022-09-25,New Orleans Saints,,@,Carolina Panthers,,13:00:00,,,,
